"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9BYH1","SE6L1_HUMAN","Seizure 6-like protein","Other TMPs","Adrenal\Brain\Eye\Pancreas\Stomach\Thymus\Tongue","SEZ6L"
"Q9BYT1","S17A9_HUMAN","Voltage-gated purine nucleotide uniporter SLC17A9","Transporter","Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Thymus\Urinary","SLC17A9"
"Q9BZ11","ADA33_HUMAN","Disintegrin and metalloproteinase domain-containing protein 33","Other TMPs","MAT\Prostate\Skin\Urinary","ADAM33"
"Q9BZD2","S29A3_HUMAN","Equilibrative nucleoside transporter 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC29A3"
"Q9BZD6","TMG4_HUMAN","Transmembrane gamma-carboxyglutamic acid protein 4","Other TMPs","Adrenal\Kidney\Pancreas\Skin\Thymus\Urinary","PRRG4"
"Q9BZD7","TMG3_HUMAN","Transmembrane gamma-carboxyglutamic acid protein 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Spleen\Testis\Thymus\Urinary","PRRG3"
"Q9BZF1","OSBL8_HUMAN","Oxysterol-binding protein-related protein 8","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","OSBPL8"
"Q9BZJ4","S2539_HUMAN","Mitochondrial glutathione transporter SLC25A39","Transporter","Adrenal\BAT\Eye\GAT\Kidney\Liver\MAT\Prostate\SCAT\Spleen\Stomach\Testis","SLC25A39"
"Q9BZV2","S19A3_HUMAN","Thiamine transporter 2","Transporter","Brain\Kidney\Lung\Small","SLC19A3"
"Q9BZV3","IMPG2_HUMAN","Interphotoreceptor matrix proteoglycan 2","Other TMPs","Eye\GAT\MAT\Muscle","IMPG2"
"Q9BZW5","TM6S1_HUMAN","Transmembrane 6 superfamily member 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TM6SF1"
"Q9C0A0","CNTP4_HUMAN","Contactin-associated protein-like 4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","CNTNAP4"
"Q9C0B5","ZDHC5_HUMAN","Palmitoyltransferase ZDHHC5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ZDHHC5"
"Q9C0B7","TNG6_HUMAN","Transport and Golgi organization protein 6 homolog","Other TMPs","Adrenal\GAT\Heart\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TANGO6"
"Q9C0C4","SEM4C_HUMAN","Semaphorin-4C","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SEMA4C"
"Q9C0D9","EPT1_HUMAN","Ethanolaminephosphotransferase 1","Other TMPs","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Urinary","SELENOI"
"Q9C0E8","LNP_HUMAN","Endoplasmic reticulum junction formation protein lunapark","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LNPK"
"Q9C0H2","TTYH3_HUMAN","Protein tweety homolog 3","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TTYH3"
"Q9C0K1","S39A8_HUMAN","Metal cation symporter ZIP8","Transporter","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Testis\Thymus\Urinary","SLC39A8"
"Q9GZM5","YIPF3_HUMAN","Protein YIPF3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","YIPF3"
"Q9GZN0","GPR88_HUMAN","G protein-coupled receptor 88","GPCR","Brain\Kidney\Tongue","GPR88"
"Q9GZP9","DERL2_HUMAN","Derlin-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","DERL2"
"Q9GZR5","ELOV4_HUMAN","Very long chain fatty acid elongase 4","Other TMPs","Brain\Eye\Skin\Stomach\Thymus\Tongue\Urinary","ELOVL4"
"Q9GZT6","CC90B_HUMAN","Coiled-coil domain-containing protein 90B, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CCDC90B"
